0.01, 0.0047381 
0.02, 0.0020458 
0.03, 0.0015393 
0.04, 0.0014368 
0.05, 0.0014956 
0.06, 0.0016559 
0.07, 0.0019012 
0.08, 0.0022297 
0.09, 0.0026452 
0.1, 0.0031534 
0.11, 0.0037596 
0.12, 0.0044670 
0.13, 0.0052756 
0.14, 0.0061800 
0.15, 0.0071691 
0.16, 0.0082248 
0.17, 0.0093218 
0.18, 0.0104280 
0.19, 0.0115054 
0.2, 0.0125121 
0.21, 0.0134046 
0.22, 0.0141407 
0.23, 0.0146829 
0.24, 0.0150013 
0.25, 0.0150766 
0.26, 0.0149015 
0.27, 0.0144822 
0.28, 0.0138378 
0.29, 0.0129990 
0.3, 0.0120058 
0.31, 0.0109046 
0.32, 0.0097443 
0.33, 0.0085732 
0.34, 0.0074357 
0.35, 0.0063699 
0.36, 0.0054053 
0.37, 0.0045625 
0.38, 0.0038526 
0.39, 0.0032780 
0.4, 0.0028335 
0.41, 0.0025077 
0.42, 0.0022845 
0.43, 0.0021449 
0.44, 0.0020689 
0.45, 0.0020363 
0.46, 0.0020282 
0.47, 0.0020280 
0.48, 0.0020221 
0.49, 0.0020003 
0.5, 0.0019556 
0.51, 0.0018849 
0.52, 0.0017879 
0.53, 0.0016670 
0.54, 0.0015266 
0.55, 0.0013726 
0.56, 0.0012110 
0.57, 0.0010484 
0.58, 0.0008904 
0.59, 0.0007418 
0.6, 0.0006062 
0.61, 0.0004858 
0.62, 0.0003819 
0.63, 0.0002944 
0.64, 0.0002226 
0.65, 0.0001650 
0.66, 0.0001200 
0.67, 0.0000856 
0.68, 0.0000598 
0.69, 0.0000410 
0.7, 0.0000276 
0.71, 0.0000182 
0.72, 0.0000118 
0.73, 0.0000075 
0.74, 0.0000048 
0.75, 0.0000031 
0.76, 0.0000022 
0.77, 0.0000019 
0.78, 0.0000023 
0.79, 0.0000036 
0.8, 0.0000061 
0.81, 0.0000107 
0.82, 0.0000187 
0.83, 0.0000320 
0.84, 0.0000539 
0.85, 0.0000890 
0.86, 0.0001441 
0.87, 0.0002288 
0.88, 0.0003562 
0.89, 0.0005436 
0.9, 0.0008134 
0.91, 0.0011932 
0.92, 0.0017163 
0.93, 0.0024202 
0.94, 0.0033461 
0.95, 0.0045357 
0.96, 0.0060278 
0.97, 0.0078538 
0.98, 0.0100327 
0.99, 0.0125648 
1, 0.0154279 
1.01, 0.0185721 
1.02, 0.0219192 
1.03, 0.0253627 
1.04, 0.0287722 
1.05, 0.0320010 
1.06, 0.0348952 
1.07, 0.0373068 
1.08, 0.0391051 
1.09, 0.0401896 
1.1, 0.0404984 
1.11, 0.0400151 
1.12, 0.0387696 
1.13, 0.0368356 
1.14, 0.0343233 
1.15, 0.0313692 
1.16, 0.0281237 
1.17, 0.0247387 
1.18, 0.0213563 
1.19, 0.0180990 
1.2, 0.0150642 
1.21, 0.0123205 
1.22, 0.0099085 
1.23, 0.0078426 
1.24, 0.0061161 
1.25, 0.0047061 
1.26, 0.0035790 
1.27, 0.0026958 
1.28, 0.0020162 
1.29, 0.0015017 
1.3, 0.0011178 
1.31, 0.0008348 
1.32, 0.0006288 
1.33, 0.0004806 
1.34, 0.0003756 
1.35, 0.0003030 
1.36, 0.0002548 
1.37, 0.0002252 
1.38, 0.0002102 
1.39, 0.0002064 
1.4, 0.0002115 
1.41, 0.0002234 
1.42, 0.0002404 
1.43, 0.0002612 
1.44, 0.0002846 
1.45, 0.0003098 
1.46, 0.0003365 
1.47, 0.0003647 
1.48, 0.0003952 
1.49, 0.0004292 
1.5, 0.0004688 
1.51, 0.0005169 
1.52, 0.0005770 
1.53, 0.0006536 
1.54, 0.0007522 
1.55, 0.0008790 
1.56, 0.0010415 
1.57, 0.0012477 
1.58, 0.0015062 
1.59, 0.0018260 
1.6, 0.0022152 
1.61, 0.0026808 
1.62, 0.0032272 
1.63, 0.0038550 
1.64, 0.0045601 
1.65, 0.0053323 
1.66, 0.0061551 
1.67, 0.0070053 
1.68, 0.0078539 
1.69, 0.0086678 
1.7, 0.0094114 
1.71, 0.0100497 
1.72, 0.0105511 
1.73, 0.0108906 
1.74, 0.0110518 
1.75, 0.0110289 
1.76, 0.0108273 
1.77, 0.0104630 
1.78, 0.0099614 
1.79, 0.0093544 
1.8, 0.0086782 
1.81, 0.0079693 
1.82, 0.0072623 
1.83, 0.0065870 
1.84, 0.0059666 
1.85, 0.0054169 
1.86, 0.0049459 
1.87, 0.0045550 
1.88, 0.0042395 
1.89, 0.0039909 
1.9, 0.0037981 
1.91, 0.0036493 
1.92, 0.0035336 
1.93, 0.0034416 
1.94, 0.0033666 
1.95, 0.0033041 
1.96, 0.0032520 
1.97, 0.0032099 
1.98, 0.0031781 
1.99, 0.0031572 
2, 0.0031468 
2.01, 0.0031456 
2.02, 0.0031503 
2.03, 0.0031566 
2.04, 0.0031585 
2.05, 0.0031496 
2.06, 0.0031235 
2.07, 0.0030743 
2.08, 0.0029980 
2.09, 0.0028922 
2.1, 0.0027568 
2.11, 0.0025943 
2.12, 0.0024091 
2.13, 0.0022074 
2.14, 0.0019964 
2.15, 0.0017839 
2.16, 0.0015775 
2.17, 0.0013839 
2.18, 0.0012087 
2.19, 0.0010558 
2.2, 0.0009275 
2.21, 0.0008243 
2.22, 0.0007452 
2.23, 0.0006880 
2.24, 0.0006495 
2.25, 0.0006259 
2.26, 0.0006133 
2.27, 0.0006078 
2.28, 0.0006060 
2.29, 0.0006051 
2.3, 0.0006031 
2.31, 0.0005988 
2.32, 0.0005918 
2.33, 0.0005825 
